Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
194,"Fabada a la Asturiana EROSKI, lata 435 g",Fabada a la Asturiana EROSKI,lata 435 g,score-b,KILO,2.41,2,5.0,NaN,1.05,2020-04-10
195,"Salchichas Bratwurst EROSKI, sobre 240 g",Salchichas Bratwurst EROSKI,sobre 240 g,score-d,KILO,6.04,0,0,NaN,1.45,2020-04-10
196,"Chorizo picante extra EROSKI basic, sobre 200 g",Chorizo picante extra EROSKI basic,sobre 200 g,score-e,KILO,7.10,0,0,NaN,1.42,2020-04-10
197,"Salsa boloñesa EROSKI, frasco 350 g",Salsa boloñesa EROSKI,frasco 350 g,score-b,KILO,3.54,0,0,NaN,1.24,2020-04-10
198,"Queso fundido light EROSKI, lonchas, paquete 300 g",Queso fundido light EROSKI,lonchas,score-c,KILO,4.93,0,0,NaN,1.48,2020-04-10
199,"Sardinilla picante EROSKI, lata 90 g",Sardinilla picante EROSKI,lata 90 g,score-c,KILO,9.78,0,0,NaN,0.88,2020-04-10
200,"San jacobo de pollo EROSKI , 4 unid., bandeja 360 g",San jacobo de pollo EROSKI,4 unid.,score-d,KILO,8.03,1,5.0,NaN,2.89,2020-04-10
201,"Pulpo cocido troceado EROSKI, bandeja 175 g",Pulpo cocido troceado EROSKI,bandeja 175 g,score-a,KILO,43.71,0,0,NaN,7.65,2020-04-10
202,"Caldo de pescado EROSKI, brik 1 litro",Caldo de pescado EROSKI,brik 1 litro,score-c,NaN,NaN,0,0,NaN,1.19,2020-04-10
203,"Pincho de pollo al curry EROSKI, bandeja 360 g",Pincho de pollo al curry EROSKI,bandeja 360 g,score-b,KILO,9.03,0,0,NaN,3.25,2020-04-10
204,"Yogur de fresa cremoso 0% EROSKI, pack 4x125 g",Yogur de fresa cremoso 0% EROSKI,pack 4x125 g,score-a,KILO,2.16,0,0,NaN,1.07,2020-04-10
205,"Magdalenas sin gluten EROSKI, 6 unid., bolsa 180 g",Magdalenas sin gluten EROSKI,6 unid.,score-d,KILO,11.06,0,0,NaN,1.99,2020-04-10
206,"Lomo cebo campo 50% raza ibérica EROSKI, al corte, compra mínima 100 g",Lomo cebo campo 50% raza ibérica EROSKI,al corte,score-e,KILO,53.90,2,4.5,NaN,5.39,2020-04-10
207,"Chuleta de Sajonia EROSKI , bandeja aprox. 500 g",Chuleta de Sajonia EROSKI,bandeja aprox. 500 g,score-d,KILO,9.26,1,5.0,NaN,4.63,2020-04-10
208,"Chistorra EROSKI, bandeja 280 g",Chistorra EROSKI,bandeja 280 g,score-e,KILO,9.82,1,5.0,NaN,2.75,2020-04-10
209,"Longaniza mixta de pollo-cerdo EROSKI, bandeja 360 g",Longaniza mixta de pollo-cerdo EROSKI,bandeja 360 g,score-d,KILO,7.64,1,5.0,NaN,2.75,2020-04-10
210,"Atún en escabeche EROSKI, lata 900 g",Atún en escabeche EROSKI,lata 900 g,score-c,KILO,6.21,1,3.0,NaN,5.59,2020-04-10
211,"Helado de chocolate en trozos EROSKI, tarrina 500 g",Helado de chocolate en trozos EROSKI,tarrina 500 g,score-d,KILO,4.18,0,0,NaN,2.09,2020-04-10
212,"Pulpo cocido troceado Eroski SELEQTIA, bandeja 200 g",Pulpo cocido troceado Eroski SELEQTIA,bandeja 200 g,score-a,KILO,47.75,0,0,NaN,9.55,2020-04-10
213,"Salchichas de pollo EROSKI, sobre 200 g",Salchichas de pollo EROSKI,sobre 200 g,score-d,KILO,3.20,1,5.0,NaN,0.64,2020-04-10
214,"Mix de frutos secos especial EROSKI, bolsa 200 g",Mix de frutos secos especial EROSKI,bolsa 200 g,score-b,KILO,11.45,1,5.0,NaN,2.29,2020-04-10
215,"Chorizo picante ALEJANDRO, sarta 200 g",Chorizo picante ALEJANDRO,sarta 200 g,NaN,KILO,17.45,0,0,NaN,3.49,2020-04-10
216,"Lomo de cerdo al ajillo fileteado EROSKI , bandeja 300 g",Lomo de cerdo al ajillo fileteado EROSKI,bandeja 300 g,score-d,KILO,13.30,0,0,NaN,3.99,2020-04-10
217,"Bolsitas 100% fresa-plátano sin azúcar EROSKI, pack 4x100 g",Bolsitas 100% fresa-plátano sin azúcar EROSKI,pack 4x100 g,score-a,KILO,7.00,0,0,NaN,2.80,2020-04-10
218,"Pan de molde sin gluten EROSKI, paquete 350 g",Pan de molde sin gluten EROSKI,paquete 350 g,score-b,KILO,8.00,2,5.0,NaN,2.80,2020-04-10
219,"Salchichas Baviera EROSKI, sobre 330 g",Salchichas Baviera EROSKI,sobre 330 g,score-d,KILO,6.04,0,0,NaN,1.45,2020-04-10
220,"Salchichón ibérico cular extra EROSKI, al corte, compra mínima 100 g",Salchichón ibérico cular extra EROSKI,al corte,score-e,KILO,20.00,3,4.0,NaN,2.00,2020-04-10
221,"Lactozumo tropical EROSKI, pack 6x200 ml",Lactozumo tropical EROSKI,pack 6x200 ml,score-b,LITRO,0.75,0,0,NaN,0.87,2020-04-10
222,"Caldo de cocido EROSKI, brik 1 litro",Caldo de cocido EROSKI,brik 1 litro,score-c,NaN,NaN,1,4.0,NaN,0.95,2020-04-10
223,"Anacardo tostado sin sal EROSKI, bolsa 75 g",Anacardo tostado sin sal EROSKI,bolsa 75 g,score-c,KILO,18.53,0,0,NaN,1.39,2020-04-10
224,"Mortadela con aceitunas EROSKI basic, sobre 250 g",Mortadela con aceitunas EROSKI basic,sobre 250 g,score-d,KILO,3.80,0,0,NaN,0.95,2020-04-10
225,"Edulcorante líquido stevia EROSKI Sannia, frasco 125 ml",Edulcorante líquido stevia EROSKI Sannia,frasco 125 ml,NaN,LITRO,17.52,0,0,NaN,2.19,2020-04-10
226,"Mermelada de higo Eroski SELEQTIA, frasco 230 g",Mermelada de higo Eroski SELEQTIA,frasco 230 g,score-c,KILO,5.91,2,5.0,NaN,1.36,2020-04-10
227,"Sorbete de limón EROSKI, tarrina 570 g",Sorbete de limón EROSKI,tarrina 570 g,score-c,KILO,3.32,0,0,NaN,1.89,2020-04-10
228,"Queso fundido con cheddar EROSKI, lonchas, paquete 200 g",Queso fundido con cheddar EROSKI,lonchas,score-e,KILO,4.90,1,5.0,NaN,0.98,2020-04-10
229,"Salchichas super bocata EROSKI, sobre 330 g",Salchichas super bocata EROSKI,sobre 330 g,score-d,KILO,4.55,1,5.0,NaN,1.50,2020-04-10
230,"Petit de fresa EROSKI, pack 4x100 g",Petit de fresa EROSKI,pack 4x100 g,score-b,KILO,1.60,0,0,NaN,0.65,2020-04-10
231,"Salami extra EROSKI, sobre 125 g",Salami extra EROSKI,sobre 125 g,score-e,KILO,11.20,0,0,NaN,1.40,2020-04-10
232,"Queso fundido EROSKI basic, lonchas, sobre 300 g",Queso fundido EROSKI basic,lonchas,score-d,KILO,3.97,1,5.0,NaN,1.19,2020-04-10
233,"Mejillón en escabeche 14/18 piezas EROSKI, lata 111 g",Mejillón en escabeche 14/18 piezas EROSKI,lata 111 g,score-c,KILO,10.36,0,0,NaN,1.15,2020-04-10
234,"Pipas gigantes con sal EROSKI, bolsa 170 g",Pipas gigantes con sal EROSKI,bolsa 170 g,score-d,KILO,6.76,0,0,NaN,1.15,2020-04-10
235,"Reductor  colesterol natural azucarado EROSKI Sannia, 6x100 ml",Reductor  colesterol natural azucarado EROSKI Sannia,6x100 ml,score-b,KILO,3.80,1,5.0,NaN,2.29,2020-04-10
236,"Salchichón extra con pimienta EROSKI, sobre 200 g",Salchichón extra con pimienta EROSKI,sobre 200 g,score-e,KILO,16.00,0,0,NaN,3.20,2020-04-10
237,"Mini bombón de almendras sin azúcar EROSKI, pack 6x50 ml",Mini bombón de almendras sin azúcar EROSKI,pack 6x50 ml,score-d,LITRO,9.50,0,0,NaN,2.85,2020-04-10
