Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
445,"Twinny SCHAR, paquete 3 x 64,5 g",Twinny SCHAR,paquete 3 x 64,NaN,KILO,12.87,0,0,NaN,2.49,2020-04-10
446,"Biscotto Pettit SCHÄR, paquete 165 g",Biscotto Pettit SCHÄR,paquete 165 g,NaN,KILO,15.45,0,0,NaN,2.55,2020-04-10
447,"Spaguetti sin gluten SAN MILLS, paquete 500 g",Spaguetti sin gluten SAN MILLS,paquete 500 g,NaN,KILO,4.18,0,0,NaN,2.09,2020-04-10
448,"Quadradito de chocolate SCHÄR, paquete 40 g",Quadradito de chocolate SCHÄR,paquete 40 g,NaN,NaN,NaN,0,0,NaN,1.14,2020-04-10
449,"Panzerottini Pomodoro Mozzarella SCHAR, caja 210 g",Panzerottini Pomodoro Mozzarella SCHAR,caja 210 g,NaN,KILO,17.10,0,0,NaN,3.59,2020-04-10
450,"Espirales sin gluten SAM MILLS, paquete 500 g",Espirales sin gluten SAM MILLS,paquete 500 g,NaN,KILO,3.18,0,0,NaN,1.59,2020-04-10
451,"Mermelada de melocotón-maracuya Eroski SELEQTIA, frasco 230 g",Mermelada de melocotón-maracuya Eroski SELEQTIA,frasco 230 g,NaN,KILO,6.48,0,0,NaN,1.49,2020-04-10
452,"Fette Croccanti CHAR, caja 150 g",Fette Croccanti CHAR,caja 150 g,NaN,KILO,14.33,0,0,NaN,2.15,2020-04-10
453,"Gran Cono SCHAR, caja 420 g",Gran Cono SCHAR,caja 420 g,NaN,KILO,17.26,0,0,NaN,7.25,2020-04-10
454,"Pipas de girasol tostadas sin sal EROSKI, bolsa 75 g",Pipas de girasol tostadas sin sal EROSKI,bolsa 75 g,score-c,KILO,6.27,0,0,NaN,0.47,2020-04-10
455,"Cioccolini SCHAR, caja 150 g",Cioccolini SCHAR,caja 150 g,NaN,KILO,19.93,0,0,NaN,2.99,2020-04-10
456,"Paté de pato a la pimienta verde EROSKI Maestro, blister 75 g",Paté de pato a la pimienta verde EROSKI Maestro,blister 75 g,score-e,KILO,22.00,0,0,NaN,1.65,2020-04-10
457,"Tiramisú sin gluten SCHAR, pack 2x100 g",Tiramisú sin gluten SCHAR,pack 2x100 g,NaN,KILO,24.95,0,0,NaN,4.99,2020-04-10
458,"Wafers de vainilla SCHÄR, paquete 125 g",Wafers de vainilla SCHÄR,paquete 125 g,NaN,KILO,18.00,0,0,NaN,2.25,2020-04-10
459,"Wafer de avellana SCHAR, paquete 125 g",Wafer de avellana SCHAR,paquete 125 g,NaN,KILO,18.00,0,0,NaN,2.25,2020-04-10
460,"Mermelada de mandarina-cardamomo Eroski SELEQTIA, frasco 230 g",Mermelada de mandarina-cardamomo Eroski SELEQTIA,frasco 230 g,NaN,KILO,6.04,1,5.0,NaN,1.39,2020-04-10
461,"Milly Magic 1-2-3 SCHÄR, paquete 250 g",Milly Magic 1-2-3 SCHÄR,paquete 250 g,NaN,KILO,15.96,0,0,NaN,3.99,2020-04-10
462,"Barrita de choco-leche sin gluten BICENTURY Sarialis, caja 78 g",Barrita de choco-leche sin gluten BICENTURY Sarialis,caja 78 g,NaN,KILO,32.69,0,0,NaN,2.55,2020-04-10
463,"Dulce de higo Eroski SELEQTIA, tarrina 200 g",Dulce de higo Eroski SELEQTIA,tarrina 200 g,score-c,KILO,9.95,1,3.0,NaN,1.99,2020-04-10
464,"Mermelada de manzana-canela Eroski SELEQTIA, frasco 230 g",Mermelada de manzana-canela Eroski SELEQTIA,frasco 230 g,NaN,KILO,6.30,0,0,NaN,1.45,2020-04-10
465,"Saltí SCHAR, paquete 175 g",Saltí SCHAR,paquete 175 g,NaN,KILO,18.57,0,0,NaN,3.25,2020-04-10
466,"Galletas de cacao rellenas sin gluten GERBLÉ, caja 125 g",Galletas de cacao rellenas sin gluten GERBLÉ,caja 125 g,NaN,KILO,27.12,0,0,NaN,3.39,2020-04-10
467,"Fídeos Capelli D`Angelo SCHÄR, caja 250 g",Fídeos Capelli D`Angelo SCHÄR,caja 250 g,NaN,KILO,9.00,0,0,NaN,2.25,2020-04-10
468,"Pimentón pulpería POTE, caja 20 g",Pimentón pulpería POTE,caja 20 g,NaN,NaN,NaN,0,0,NaN,1.29,2020-04-10
469,"Pasta Anellini SCHÄR, caja 250 g",Pasta Anellini SCHÄR,caja 250 g,NaN,KILO,7.96,0,0,NaN,1.99,2020-04-10
470,"Fettucini sin gluten SAM MILLS, paquete 500 g",Fettucini sin gluten SAM MILLS,paquete 500 g,NaN,KILO,3.10,0,0,NaN,1.55,2020-04-10
471,"Frollini SCHAR, paquete 200 g",Frollini SCHAR,paquete 200 g,NaN,KILO,13.75,0,0,NaN,2.75,2020-04-10
472,"Conchiliette sin gluten SAM MILLS, paquete 500 g",Conchiliette sin gluten SAM MILLS,paquete 500 g,NaN,KILO,3.10,0,0,NaN,1.55,2020-04-10
473,"No Egg sustituto de huevo ORGRAN, caja 200 g",No Egg sustituto de huevo ORGRAN,caja 200 g,NaN,KILO,20.75,0,0,NaN,4.15,2020-04-10
474,"Chocolate Cake mix ORGRAN, caja 375 g",Chocolate Cake mix ORGRAN,caja 375 g,NaN,KILO,11.97,0,0,NaN,4.49,2020-04-10
475,"Millefoglie SCHAR, caja 250 g",Millefoglie SCHAR,caja 250 g,NaN,KILO,14.00,0,0,NaN,3.50,2020-04-10
476,"Chips vegetales EROSKI, bolsa 95 g",Chips vegetales EROSKI,bolsa 95 g,score-c,KILO,18.84,0,0,NaN,1.79,2020-04-10
